id,region,,,
1,Вінницька,,,
2,Волинська,,,
3,Дніпропетровська,,,
4,Донецька,,,
5,Житомирська,,,
6,Закарпатська,,,
7,Запорізька,,,
8,Івано-Франківська,,,
9,Київ,,,
10,Київська,,,
11,Кіровоградська,,,
12,Луганська,,,
13,Львівська,,,
14,Миколаївська,,,
15,Одеська,,,
16,Полтавська,,,
17,Республіка Крим,,,
18,Рівненська,,,
19,Севастополь,,,
20,Сумська,,,
21,Тернопільська,,,
22,Харківська,,,
23,Херсонська,,,
24,Хмельницька,,,
25,Черкаська,,,
26,Чернівецька,,,
27,Чернігівська,,,